variable,importancia_media,importancia_std
budget_million,0.3332856934687153,0.004208567422776401
award_nominations,0.010412348459696519,0.00023494412575513228
award_wins,0.005324980602846185,0.0002827019033530597
marketing_budget_million,6.594981343148732e-05,0.00014601605938606814
director_grp,1.6709807247217157e-05,1.3897932595747915e-05
country_grp,8.03911971773985e-06,4.213056716799299e-06
runtime_min,3.8683528474026115e-06,1.0422343364570112e-05
language_grp,2.5803874408092397e-06,3.143128601989298e-06
streaming_platform_grp,2.4651517816609568e-06,2.156615215658829e-06
franchise_flag,1.172729747334067e-06,1.3029073042623709e-06
genre_count,0.0,0.0
decade,-1.5279866418804744e-07,8.803183739802539e-07
subgenre_grp,-1.7839244040418479e-06,2.2435702321732246e-06
main_genre_grp,-2.5364578249753577e-06,1.946363056462215e-06
release_year,-3.4965427647914994e-06,8.531727584239016e-06
lead_actress_grp,-7.82838489346016e-06,3.6302901657564805e-06
lead_actor_grp,-8.480325860538152e-06,1.2049114854136475e-05
